                         Domain Name|   Creation Date|                                                      Registrar
                     ---------------| ---------------|                                                ---------------
                     0-android-1.com|      2018-03-07|                                               GODADDY.COM, LLC
                     1-android-1.com|      2019-10-04|                                               GODADDY.COM, LLC
                      119android.com|      2016-11-16|            GUANGDONG JINWANBANG TECHNOLOGY INVESTMENT CO. LTD.
                       123hdenc.mobi|      2016-11-24|                                               GODADDY.COM, LLC
                            21w8.com|      2010-10-16|                  JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD
                        360droid.com|      2016-05-05|                                               GODADDY.COM, LLC
                       360glitch.com|      2016-04-30|                                               GODADDY.COM, LLC
                    360redcarpet.com|      2016-04-21|                                               GODADDY.COM, LLC
                        37156667.com|      2017-07-05|                               HICHINA ZHICHENG TECHNOLOGY LTD.
                          50load.com|      2017-01-01|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                           58dyy.com|      2013-09-10|                                 XIN NET TECHNOLOGY CORPORATION
             81-linh-lang-sophia.com|      2018-09-13|                              GMO INTERNET, INC. DBA ONAMAE.COM
                            9xpl.com|      2017-10-20|                                               GODADDY.COM, LLC
                a-is-for-android.com|      2019-09-19|                                                AUTOMATTIC INC.
                    aadevelopers.net|      2015-12-23|                                      BIGROCK SOLUTIONS LIMITED
                      aappsforpc.com|      2016-03-15|                                               GODADDY.COM, LLC
                    abonsapienak.com|      2014-03-28|                                            TUCOWS DOMAINS INC.
                     aboutcallus.com|      2019-07-22|                                               GODADDY.COM, LLC
                   absolutedarhk.com|      2016-06-07|                                      BIGROCK SOLUTIONS LIMITED
                 academeinfinity.org|      2018-12-03|                                               GODADDY.COM, LLC
               acompanhantesdebh.com|                |                                                               
                 acpro-indonesia.com|      2017-01-27|                                                  HOSTINGER UAB
                    adcomicstore.com|      2010-01-26|                                               GODADDY.COM, LLC
       adobe-support-android-up.info|      2017-12-07|   LIMITED LIABILITY COMPANY "REGISTRAR OF DOMAIN NAMES REG.RU"
    adobe-support-android-up.website|      2017-12-12|                          REGISTRAR OF DOMAIN NAMES REG.RU, LLC
                      adoblecuba.com|      2014-08-07|                                                   TUCOWS, INC.
          adsolutioninformatique.com|      2019-10-08|                               NETEARTH ONE INC. D/B/A NETEARTH
    affordablelettingsolutions.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
   affordablepropertysolutions.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
                          afitm.asia|      2019-03-11|                                         CV. RUMAHWEB INDONESIA
                          age150.com|      2016-12-03|           CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM
               ageverification18.com|      2018-10-03|                           REGISTRAR OF DOMAIN NAMES REG.RU LLC
                     agncitylese.com|      2017-06-07|                                             REGISTER.COM, INC.
             agsterraplanagem.com.br|                |                                                               
                     agusandroid.com|      2018-01-31|                                            TUCOWS DOMAINS INC.
                 ahatech-android.com|      2011-05-23|                                               GODADDY.COM, LLC
                      ahmedsheta.com|      2017-04-27|                                               GODADDY.COM, LLC
                  ai-development.org|      2014-11-12|                                                     ENOM, INC.
                   ai-shreveport.com|      2003-02-19|                                        NETWORK SOLUTIONS, LLC.
                           aiat.work|      2016-02-18|                                                        GODADDY
                           aiicn.com|      2013-04-03|                  JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD
                    airincrepair.com|      2016-06-15|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                       airmaxdth.com|      2014-01-20|                                               GODADDY.COM, LLC
              aisplanodesaude.com.br|                |                                                               
                    ajmalyamin.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
                    akmalyamin.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
                      aktvboxguy.com|      2017-02-08|                                                     ENOM, INC.
                      al-android.com|      2017-04-11|                                               FASTDOMAIN, INC.
                      al-android.net|      2017-04-11|                                               FASTDOMAIN, INC.
                       alandroid.net|      2013-06-29|                                               FASTDOMAIN, INC.
                  alawael-school.net|      2016-02-21|                                                     ENOM, INC.
                       albitcoin.net|      2017-12-15|                                               FASTDOMAIN, INC.
                          aldalg.com|      2015-12-10|                                                 NAME.COM, INC.
            aldermanroaddental.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
               aldermanroaddental.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
                      aldeystore.net|      2016-10-13|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                         aldroid.net|      2017-08-12|                                            TUCOWS DOMAINS INC.
                        alfarabe.com|      2016-02-29|                                                  NAMECHEAP INC
                   all-4-android.com|      2019-05-29|                                                AUTOMATTIC INC.
               all-apps-android.info|      2018-04-17|   LIMITED LIABILITY COMPANY "REGISTRAR OF DOMAIN NAMES REG.RU"
                       all-clock.com|      2015-05-28|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                        allaapps.com|      2018-07-28|                                                  NAMESILO, LLC
                allaboutandroid.blog|      2017-11-09|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                     allanjuma.co.ke|      2017-11-23|                                BITSIMBA TELECOMMUNICATIONS LTD
                      allasocial.com|      2018-03-14|           CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM
                     allbestvids.xyz|      2015-11-30|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                allgames-android.com|      2013-08-13|                                INTERNET DOMAIN SERVICE BS CORP
                    allisandroid.com|      2012-08-06|                                               GODADDY.COM, LLC
                            allme.pt|      2017-05-07|                                                               
          alltheworldsamphibians.com|      2007-04-01|                                               GODADDY.COM, LLC
               alltheworldsbirds.com|      2007-04-01|                                               GODADDY.COM, LLC
           alltheworldsdinosaurs.com|      2007-04-01|                                               GODADDY.COM, LLC
             alltheworldsmammals.com|      2007-04-01|                                               GODADDY.COM, LLC
            alltheworldsreptiles.com|      2007-04-01|                                               GODADDY.COM, LLC
                        almodaun.com|      2017-02-17|                                                REGISTER.IT SPA
                      alvideonet.com|      2017-10-29|                                               FASTDOMAIN, INC.
                        alyzidan.com|      2014-08-19|                                               GODADDY.COM, LLC
                  amazingandroid.net|      2016-10-11|                                     ZNET TECHNOLOGIES PVT LTD.
               ambermultitrade.co.uk|      2016-11-03|                              GODADDY.COM, LLP. [TAG = GODADDY]
               ambeshaktitraders.com|      2013-07-23|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                   americaisdying.co|      2017-06-11|                                              GODADDY.COM, INC.
                 americaisdying.info|      2017-06-11|                                               GODADDY.COM, LLC
                  americaisdying.net|      2017-06-11|                                               GODADDY.COM, LLC
                  americaisdying.org|      2017-06-11|                                               GODADDY.COM, LLC
                   americaisdying.us|      2017-06-11|                                              GODADDY.COM, INC.
         americaisdyingdoyoucare.com|      2017-06-10|                                               GODADDY.COM, LLC
        americaisdyingdoyoucare.info|      2017-06-10|                                               GODADDY.COM, LLC
         americaisdyingdoyoucare.net|      2017-06-10|                                               GODADDY.COM, LLC
         americaisdyingdoyoucare.org|      2017-06-10|                                               GODADDY.COM, LLC
          americaisdyingdoyoucare.us|      2017-06-10|                                              GODADDY.COM, INC.
                   amperacompany.com|      2017-02-11|                                                  HOSTINGER UAB
                        ando-dev.xyz|      2016-12-31|                                                 HOSTINGER, UAB
                         andodev.xyz|      2016-12-31|                                                 HOSTINGER, UAB
                     andretail.co.uk|      2013-02-07|         EASILY LIMITED T/A EASILY.CO.UK [TAG = WEBCONSULTANCY]
                     andridtvbox.com|      2019-09-22|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                      androgalaxy.in|      2015-09-27|                                   GODADDY.COM, LLC (R101-AFIN)
               android-101-prime.com|      2013-12-03|                                                 NAMECHEAP INC.
                      android-11.com|      2019-09-13|                                               GODADDY.COM, LLC
                      android-1b.com|      2019-10-24|                                                   DYNADOT, LLC
                      android-1c.com|      2019-10-24|                                                   DYNADOT, LLC
                      android-1f.com|      2019-10-24|                                                   DYNADOT, LLC
                      android-1g.com|      2019-10-24|                                                   DYNADOT, LLC
                      android-1i.com|      2019-10-24|                                                   DYNADOT, LLC
